V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
271.859	272.709	273.451	274.095	274.654	275.136	275.549	275.901	276.197	276.442	276.641	276.795	276.909	276.984	277.021
272.379	273.169	273.858	274.458	274.977	275.425	275.810	276.137	276.412	276.640	276.824	276.968	277.074	277.144	277.178
274.998	275.487	275.914	276.285	276.606	276.883	277.121	277.324	277.494	277.635	277.749	277.838	277.904	277.947	277.968
275.919	276.302	276.636	276.927	277.178	277.396	277.582	277.741	277.874	277.985	278.074	278.144	278.195	278.229	278.246
276.764	277.050	277.299	277.516	277.704	277.866	278.005	278.124	278.223	278.306	278.372	278.424	278.463	278.488	278.500
277.722	277.897	278.051	278.184	278.300	278.399	278.485	278.557	278.619	278.669	278.710	278.742	278.766	278.781	278.789
278.741	278.799	278.850	278.895	278.933	278.966	278.995	279.019	279.040	279.056	279.070	279.081	279.089	279.094	279.096
279.193	279.200	279.206	279.211	279.215	279.218	279.222	279.224	279.227	279.228	279.230	279.231	279.232	279.233	279.233
278.967	279.000	279.028	279.053	279.074	279.092	279.108	279.122	279.133	279.142	279.150	279.156	279.160	279.163	279.165
277.766	277.937	278.086	278.215	278.327	278.424	278.507	278.578	278.637	278.686	278.726	278.757	278.780	278.795	278.803
278.042	278.181	278.302	278.407	278.499	278.577	278.645	278.703	278.751	278.791	278.823	278.849	278.867	278.880	278.886
279.086	279.105	279.122	279.136	279.148	279.159	279.168	279.176	279.182	279.188	279.192	279.196	279.198	279.200	279.201
280.099	280.001	279.916	279.842	279.778	279.723	279.675	279.635	279.601	279.573	279.550	279.532	279.519	279.510	279.506
280.778	280.603	280.449	280.316	280.200	280.101	280.015	279.943	279.881	279.831	279.790	279.758	279.734	279.719	279.711
273.961	274.570	275.100	275.561	275.961	276.306	276.602	276.854	277.065	277.241	277.383	277.494	277.575	277.629	277.655
273.862	274.482	275.022	275.492	275.899	276.251	276.552	276.809	277.024	277.203	277.348	277.461	277.544	277.598	277.625
275.348	275.797	276.188	276.529	276.824	277.078	277.296	277.482	277.638	277.768	277.872	277.954	278.014	278.054	278.073
277.269	277.497	277.695	277.868	278.018	278.147	278.258	278.352	278.432	278.497	278.551	278.592	278.623	278.643	278.653
279.646	279.601	279.561	279.526	279.496	279.471	279.448	279.430	279.414	279.401	279.390	279.382	279.375	279.371	279.369
280.665	280.502	280.360	280.237	280.130	280.038	279.959	279.891	279.835	279.788	279.750	279.720	279.698	279.684	279.677
282.077	281.752	281.468	281.222	281.008	280.824	280.666	280.531	280.418	280.324	280.248	280.189	280.145	280.117	280.103
281.064	280.856	280.674	280.515	280.378	280.260	280.158	280.072	279.999	279.939	279.891	279.853	279.825	279.806	279.797
284.918	284.266	283.698	283.203	282.775	282.405	282.088	281.818	281.591	281.403	281.251	281.132	281.045	280.988	280.959
291.133	289.766	288.574	287.538	286.639	285.864	285.200	284.634	284.158	283.764	283.445	283.196	283.013	282.893	282.833
288.457	287.398	286.475	285.672	284.976	284.375	283.860	283.422	283.053	282.748	282.501	282.308	282.166	282.073	282.026
287.858	286.868	286.005	285.254	284.603	284.042	283.560	283.150	282.806	282.520	282.289	282.109	281.976	281.889	281.846
289.669	288.471	287.426	286.517	285.730	285.050	284.467	283.971	283.554	283.208	282.929	282.710	282.550	282.444	282.392
282.368	282.009	281.697	281.425	281.189	280.986	280.811	280.663	280.538	280.435	280.351	280.286	280.237	280.206	280.190
