V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
279.105	279.049	279.000	278.957	278.920	278.888	278.861	278.838	278.818	278.802	278.789	278.778	278.771	278.766	278.764
278.454	278.473	278.489	278.503	278.515	278.526	278.535	278.543	278.549	278.555	278.559	278.562	278.565	278.566	278.567
279.867	279.723	279.598	279.489	279.394	279.312	279.242	279.183	279.133	279.091	279.058	279.031	279.012	279.000	278.993
279.648	279.530	279.426	279.336	279.258	279.191	279.133	279.084	279.042	279.008	278.980	278.959	278.943	278.932	278.927
279.835	279.695	279.572	279.466	279.374	279.294	279.226	279.168	279.119	279.079	279.046	279.021	279.002	278.990	278.984
279.533	279.428	279.336	279.256	279.187	279.127	279.075	279.032	278.995	278.965	278.940	278.921	278.907	278.897	278.893
280.328	280.131	279.959	279.810	279.681	279.569	279.473	279.392	279.323	279.266	279.220	279.185	279.158	279.141	279.132
281.147	280.855	280.602	280.381	280.190	280.025	279.883	279.763	279.661	279.577	279.509	279.456	279.417	279.392	279.379
281.241	280.939	280.676	280.447	280.248	280.077	279.930	279.805	279.700	279.613	279.543	279.488	279.447	279.421	279.407
280.504	280.287	280.098	279.933	279.790	279.667	279.561	279.472	279.396	279.333	279.283	279.243	279.214	279.195	279.185
280.701	280.461	280.252	280.070	279.912	279.776	279.660	279.561	279.477	279.408	279.352	279.308	279.276	279.255	279.245
282.150	281.744	281.389	281.081	280.814	280.583	280.386	280.217	280.076	279.959	279.864	279.790	279.735	279.699	279.682
282.496	282.049	281.660	281.322	281.029	280.776	280.559	280.374	280.219	280.090	279.986	279.904	279.845	279.805	279.786
280.956	280.686	280.452	280.248	280.071	279.918	279.787	279.676	279.582	279.505	279.442	279.393	279.357	279.333	279.321
279.382	279.294	279.217	279.150	279.093	279.043	279.000	278.963	278.933	278.907	278.887	278.871	278.859	278.851	278.847
280.013	279.852	279.712	279.590	279.485	279.394	279.316	279.249	279.193	279.147	279.109	279.080	279.058	279.044	279.037
281.850	281.478	281.154	280.872	280.627	280.416	280.235	280.081	279.952	279.845	279.758	279.690	279.640	279.607	279.591
282.009	281.619	281.279	280.983	280.726	280.505	280.315	280.153	280.018	279.905	279.814	279.743	279.691	279.656	279.639
281.190	280.894	280.636	280.412	280.217	280.049	279.905	279.782	279.679	279.594	279.525	279.471	279.431	279.405	279.392
280.092	279.922	279.774	279.645	279.534	279.437	279.355	279.285	279.225	279.177	279.137	279.106	279.083	279.068	279.061
280.561	280.337	280.142	279.973	279.826	279.699	279.590	279.497	279.419	279.355	279.303	279.262	279.232	279.212	279.203
279.332	279.250	279.178	279.115	279.061	279.015	278.975	278.940	278.912	278.888	278.869	278.854	278.843	278.836	278.832
279.848	279.706	279.583	279.475	279.382	279.302	279.233	279.174	279.125	279.084	279.051	279.025	279.006	278.994	278.987
280.957	280.688	280.453	280.249	280.072	279.919	279.788	279.677	279.583	279.505	279.442	279.393	279.357	279.334	279.322
282.174	281.764	281.408	281.097	280.828	280.596	280.397	280.228	280.086	279.968	279.872	279.798	279.743	279.707	279.689
282.855	282.367	281.942	281.573	281.252	280.976	280.738	280.537	280.367	280.226	280.113	280.024	279.958	279.916	279.894
284.170	283.531	282.974	282.490	282.070	281.708	281.397	281.132	280.910	280.726	280.577	280.460	280.375	280.319	280.291
