V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
292.662	290.420	288.466	286.767	285.295	284.024	282.934	282.006	281.226	280.580	280.057	279.649	279.349	279.151	279.053
293.589	291.241	289.194	287.414	285.871	284.540	283.398	282.427	281.609	280.932	280.385	279.957	279.642	279.435	279.333
291.172	289.102	287.297	285.728	284.368	283.194	282.188	281.331	280.611	280.014	279.531	279.154	278.877	278.694	278.604
281.201	280.278	279.474	278.774	278.168	277.644	277.195	276.814	276.492	276.226	276.011	275.843	275.719	275.638	275.597
280.563	279.713	278.972	278.329	277.770	277.289	276.876	276.524	276.228	275.983	275.785	275.631	275.517	275.442	275.405
281.800	280.808	279.943	279.191	278.540	277.977	277.495	277.085	276.739	276.453	276.222	276.042	275.909	275.821	275.778
283.218	282.063	281.056	280.180	279.422	278.767	278.205	277.727	277.325	276.992	276.723	276.513	276.358	276.256	276.206
283.719	282.507	281.450	280.530	279.734	279.046	278.456	277.955	277.532	277.183	276.900	276.679	276.517	276.410	276.357
276.639	276.241	275.894	275.592	275.330	275.105	274.911	274.746	274.608	274.493	274.400	274.328	274.274	274.239	274.222
277.054	276.608	276.219	275.881	275.588	275.336	275.119	274.934	274.779	274.651	274.547	274.465	274.406	274.366	274.347
282.067	281.044	280.153	279.378	278.706	278.126	277.629	277.206	276.850	276.555	276.316	276.130	275.993	275.903	275.858
282.538	281.461	280.523	279.706	278.999	278.388	277.865	277.419	277.044	276.734	276.483	276.287	276.142	276.048	276.001
280.486	279.646	278.913	278.275	277.723	277.246	276.837	276.490	276.197	275.955	275.758	275.605	275.493	275.419	275.382
276.108	275.771	275.477	275.221	275.000	274.809	274.645	274.506	274.388	274.291	274.212	274.151	274.106	274.076	274.062
274.379	274.241	274.121	274.016	273.925	273.847	273.780	273.722	273.674	273.634	273.602	273.577	273.559	273.546	273.540
277.466	276.972	276.542	276.169	275.844	275.565	275.325	275.121	274.949	274.807	274.692	274.602	274.536	274.493	274.471
276.780	276.365	276.004	275.690	275.418	275.183	274.981	274.810	274.666	274.546	274.450	274.374	274.319	274.282	274.264
275.729	275.436	275.180	274.957	274.764	274.598	274.455	274.334	274.232	274.147	274.079	274.025	273.986	273.960	273.947
271.813	271.970	272.107	272.226	272.329	272.418	272.495	272.560	272.614	272.660	272.696	272.725	272.746	272.760	272.767
272.395	272.485	272.564	272.632	272.691	272.742	272.786	272.823	272.855	272.881	272.902	272.918	272.930	272.938	272.942
275.297	275.053	274.841	274.656	274.496	274.358	274.239	274.138	274.053	273.983	273.926	273.882	273.849	273.828	273.817
277.633	277.121	276.674	276.285	275.949	275.658	275.409	275.197	275.018	274.871	274.751	274.658	274.589	274.544	274.522
278.790	278.145	277.582	277.093	276.668	276.302	275.988	275.721	275.496	275.310	275.160	275.042	274.956	274.899	274.871
280.387	279.557	278.834	278.206	277.661	277.191	276.788	276.444	276.156	275.917	275.723	275.572	275.461	275.388	275.352
276.517	276.133	275.798	275.507	275.254	275.037	274.850	274.691	274.557	274.447	274.357	274.287	274.236	274.202	274.185
276.096	275.761	275.468	275.214	274.993	274.803	274.639	274.500	274.384	274.287	274.209	274.147	274.102	274.073	274.058
283.626	282.424	281.376	280.465	279.675	278.994	278.409	277.912	277.494	277.147	276.867	276.648	276.487	276.381	276.329
286.289	284.780	283.466	282.322	281.331	280.476	279.743	279.119	278.594	278.159	277.807	277.532	277.330	277.197	277.132
286.535	284.999	283.659	282.494	281.484	280.613	279.866	279.230	278.695	278.252	277.894	277.614	277.408	277.273	277.206
280.970	280.073	279.292	278.612	278.023	277.515	277.079	276.709	276.396	276.138	275.929	275.766	275.646	275.567	275.528
281.562	280.597	279.757	279.025	278.392	277.845	277.376	276.977	276.641	276.363	276.138	275.963	275.833	275.748	275.706
