survey_year	n_nh4	type
2018	0.154000000	Measured
2018	0.083000000	Measured
2018	0.083000000	Measured
2018	1.041000000	Measured
2018	0.021000000	Measured
2018	0.105000000	Measured
2018	0.071000000	Measured
2018	7.445000000	Measured
2018	7.155000000	Measured
2018	0.039000000	Measured
2018	0.050000000	Measured
2018	0.086000000	Measured
2018	0.138000000	Measured
2018	0.114000000	Measured
2018	0.036000000	Measured
2018	0.054000000	Measured
2018	5.502000000	Measured
2018	0.031000000	Measured
2018	0.031000000	Measured
2018	0.100000000	Measured
2018	0.074000000	Measured
2018	0.070000000	Measured
2018	         NA	Measured
2018	0.070000000	Measured
2018	0.100000000	Measured
2018	0.033000000	Measured
2018	0.057000000	Measured
2018	0.370000000	Measured
2018	0.071000000	Measured
2018	0.025000000	Measured
2018	7.029000000	Measured
2018	0.031000000	Measured
2018	0.032000000	Measured
2018	0.063000000	Measured
2018	0.100000000	Measured
2018	1.290000000	Measured
2018	1.584000000	Measured
2018	0.100000000	Measured
2018	0.678000000	Measured
2018	4.049000000	Measured
2018	0.024000000	Measured
2018	0.100000000	Measured
2018	2.300000000	Measured
2018	0.089000000	Measured
2018	3.576000000	Measured
2018	0.273000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.043000000	Measured
2018	0.100000000	Measured
2018	0.057000000	Measured
2018	0.023000000	Measured
2018	0.100000000	Measured
2018	0.048000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.056000000	Measured
2018	0.050000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.052000000	Measured
2018	0.100000000	Measured
2018	0.033000000	Measured
2018	0.038000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.069000000	Measured
2018	0.100000000	Measured
2018	0.100000000	Measured
2018	0.128000000	Measured
2018	0.100000000	Measured
2018	0.065000000	Measured
2019	0.084000000	Measured
2019	0.100000000	Measured
2019	0.465000000	Measured
2019	         NA	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.024000000	Measured
2019	0.100000000	Measured
2019	0.082000000	Measured
2019	0.100000000	Measured
2019	0.046000000	Measured
2019	0.446000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.029000000	Measured
2019	0.100000000	Measured
2019	0.158000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.031000000	Measured
2019	0.806000000	Measured
2019	0.352000000	Measured
2019	0.021000000	Measured
2019	0.120000000	Measured
2019	0.100000000	Measured
2019	0.022000000	Measured
2019	0.039000000	Measured
2019	0.800000000	Measured
2019	0.095000000	Measured
2019	0.072000000	Measured
2019	0.100000000	Measured
2019	0.067000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.136000000	Measured
2019	0.100000000	Measured
2019	1.237000000	Measured
2019	0.350000000	Measured
2019	0.100000000	Measured
2019	0.087000000	Measured
2019	0.100000000	Measured
2019	0.391000000	Measured
2019	0.324000000	Measured
2019	0.025000000	Measured
2019	0.192000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.317000000	Measured
2019	0.336000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.100000000	Measured
2019	0.042000000	Measured
2019	2.016000000	Measured
2019	0.100000000	Measured
2019	0.102000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.090000000	Measured
2020	0.017000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.366000000	Measured
2020	0.599000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.031000000	Measured
2020	0.231000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.057000000	Measured
2020	0.509000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	2.594000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.088000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.023000000	Measured
2020	0.100000000	Measured
2020	0.036000000	Measured
2020	0.100000000	Measured
2020	0.093000000	Measured
2020	0.306000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.319000000	Measured
