survey_year	n_no3	type
2019	       NA	Measured
2019	 7.887000	Measured
2019	 3.980000	Measured
2019	 7.568000	Measured
2019	 9.813000	Measured
2019	11.514000	Measured
2019	11.076000	Measured
2019	 8.226000	Measured
2019	-1.000000	Measured
2020	       NA	Measured
2020	 1.228000	Measured
2020	36.000000	Measured
2020	12.267000	Measured
2020	 9.798000	Measured
2020	10.236000	Measured
2020	 5.815000	Measured
2020	11.982000	Measured
2020	15.419000	Measured
2020	 4.496000	Measured
2020	62.560000	Measured
2020	24.595000	Measured
2020	 6.811000	Measured
2020	 7.468000	Measured
2020	-1.000000	Measured
2020	 5.279000	Measured
2020	 1.702000	Measured
2020	 9.531000	Measured
2020	 8.804000	Measured
2020	34.150000	Measured
2020	13.791000	Measured
2020	72.100000	Measured
2020	 3.329000	Measured
2020	12.300000	Measured
2020	 2.235000	Measured
2020	 4.229000	Measured
2020	 9.672000	Measured
2020	 5.849000	Measured
2020	 8.923000	Measured
2020	29.710000	Measured
2020	 2.967000	Measured
2020	 2.210000	Measured
2020	 3.353000	Measured
2020	17.148000	Measured
2020	16.596000	Measured
2020	 2.120000	Measured
2020	 3.567000	Measured
2020	 9.333000	Measured
2020	35.760000	Measured
2020	 2.527000	Measured
2020	 8.051000	Measured
2020	 0.236000	Measured
2020	14.925000	Measured
2020	 3.733000	Measured
2020	 5.845000	Measured
2020	 2.625000	Measured
2020	17.049000	Measured
2020	 0.008000	Measured
2020	19.150000	Measured
2020	 0.594000	Measured
2020	 6.914000	Measured
2020	 0.139000	Measured
2020	21.830000	Measured
2020	 2.602000	Measured
2020	 0.254000	Measured
2020	 9.012000	Measured
2020	 2.784000	Measured
2020	 7.607000	Measured
2020	 2.010000	Measured
2020	 6.004000	Measured
2020	16.929000	Measured
2020	 0.020000	Measured
2020	 2.962000	Measured
2020	11.940000	Measured
2020	 2.129000	Measured
2020	26.630000	Measured
2020	 2.628000	Measured
2020	 2.347000	Measured
2020	31.135000	Measured
2020	 0.054000	Measured
2020	 0.806000	Measured
2020	 2.032000	Measured
2020	 7.820000	Measured
2020	14.772000	Measured
2020	 1.405000	Measured
2020	24.445000	Measured
2020	 0.173000	Measured
2020	 2.013000	Measured
2020	 1.978000	Measured
2020	 3.181000	Measured
2020	12.837000	Measured
2020	 5.029000	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	24.725000	Measured
2020	 4.586000	Measured
2020	-1.000000	Measured
2020	 7.776000	Measured
2020	 0.284000	Measured
2020	       NA	Measured
2020	21.720000	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	 2.718000	Measured
2020	 0.041000	Measured
2020	 7.454000	Measured
2020	 2.523000	Measured
2020	 0.136000	Measured
2020	 4.100000	Measured
