survey_year	doc	type
2023	  3.92000	Measured
2023	  3.09000	Measured
2023	 13.43000	Measured
2023	 22.00000	Measured
2023	 20.64000	Measured
2023	  7.55000	Measured
1996	  7.49472	Simulated
1996	  4.69153	Simulated
1996	  5.40800	Simulated
1996	  5.27209	Simulated
1996	  7.27196	Simulated
1996	  4.91261	Simulated
1996	  6.98852	Simulated
1996	  4.92608	Simulated
1996	  5.13930	Simulated
1996	  6.85330	Simulated
1996	  4.97877	Simulated
1997	  7.95835	Simulated
1997	  5.77731	Simulated
1997	  5.99240	Simulated
1997	  8.26370	Simulated
1997	  5.54617	Simulated
1997	  6.30556	Simulated
1997	  7.19119	Simulated
1997	  5.92658	Simulated
1997	  4.61560	Simulated
1997	  4.71200	Simulated
1997	  5.82320	Simulated
1998	  5.07794	Simulated
1998	  8.19920	Simulated
1998	  7.05708	Simulated
1998	 11.40791	Simulated
1998	  4.75299	Simulated
1998	  6.56147	Simulated
1998	  3.68580	Simulated
1998	  5.84383	Simulated
1998	  5.98171	Simulated
1998	  7.67923	Simulated
1999	  5.96720	Simulated
1999	  5.08979	Simulated
1999	  6.08440	Simulated
1999	  8.71702	Simulated
1999	  8.53155	Simulated
1999	  6.22750	Simulated
1999	  8.50836	Simulated
1999	  7.26113	Simulated
1999	  6.09737	Simulated
1999	  4.12080	Simulated
1999	  5.06695	Simulated
2000	  7.95515	Simulated
2000	  5.53920	Simulated
2000	  6.22840	Simulated
2000	 10.33134	Simulated
2000	 95.27914	Simulated
2000	  4.64562	Simulated
2000	  6.90579	Simulated
2000	  4.87648	Simulated
2000	  8.52814	Simulated
2000	  8.22253	Simulated
2001	  6.77058	Simulated
2001	  7.28567	Simulated
2001	  8.86480	Simulated
2001	  7.50846	Simulated
2001	  7.45788	Simulated
2001	  5.48908	Simulated
2001	  8.14002	Simulated
2001	  7.31111	Simulated
2001	  6.86542	Simulated
2001	  5.76720	Simulated
2001	  8.78418	Simulated
2002	  5.82155	Simulated
2002	  6.83446	Simulated
2002	  7.19720	Simulated
2002	  7.37239	Simulated
2002	  5.00370	Simulated
2002	  6.27612	Simulated
2002	  6.20466	Simulated
2002	  5.17026	Simulated
2002	 10.27534	Simulated
2002	  9.47640	Simulated
2003	  9.71741	Simulated
2003	  5.40214	Simulated
2003	  6.59280	Simulated
2003	  6.42784	Simulated
2003	  9.61220	Simulated
2003	  7.45568	Simulated
2003	 10.83019	Simulated
2003	  6.21890	Simulated
2003	  5.08779	Simulated
2003	  6.39662	Simulated
2003	  5.52160	Simulated
2004	  5.95264	Simulated
2004	  8.06090	Simulated
2004	  6.40000	Simulated
2004	  8.90959	Simulated
2004	  8.23409	Simulated
2004	  4.68058	Simulated
2004	 13.91495	Simulated
2004	  6.02574	Simulated
2004	  8.49083	Simulated
2004	  6.75074	Simulated
2004	  5.21920	Simulated
2005	  5.28581	Simulated
2005	  4.51520	Simulated
2005	  8.77200	Simulated
2005	  6.33675	Simulated
2005	  5.87936	Simulated
2005	  6.98792	Simulated
2005	  5.23240	Simulated
2005	  6.99325	Simulated
2005	  8.87802	Simulated
2005	  8.07407	Simulated
2006	  5.47063	Simulated
2006	  8.54450	Simulated
2006	  6.25720	Simulated
2006	  7.45428	Simulated
2006	  6.24899	Simulated
2006	  6.61040	Simulated
2006	  6.52414	Simulated
2006	  4.84171	Simulated
2006	  6.35104	Simulated
2006	  6.07120	Simulated
2006	  5.55920	Simulated
2007	  5.77291	Simulated
2007	  7.63000	Simulated
2007	  6.86880	Simulated
2007	 10.29726	Simulated
2007	  7.29943	Simulated
2007	  4.84553	Simulated
2007	  5.35451	Simulated
2007	  4.01340	Simulated
2007	  6.77860	Simulated
2007	  6.30640	Simulated
2008	  6.09090	Simulated
2008	  7.73514	Simulated
2008	  8.75920	Simulated
2008	  9.41480	Simulated
2008	  9.21508	Simulated
2008	  5.04261	Simulated
2008	  5.36495	Simulated
2008	  5.42494	Simulated
2008	  6.28186	Simulated
2008	  9.12560	Simulated
2008	  8.39749	Simulated
2009	  8.58754	Simulated
2009	  8.23135	Simulated
2009	  8.15173	Simulated
