survey_year	doc	type
2021	  19.6700	Measured
2021	  54.0900	Measured
2021	  26.1100	Measured
2021	       NA	Measured
2021	 107.0000	Measured
2021	  40.6400	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	  40.1000	Measured
2021	  21.9700	Measured
2021	  76.2200	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	 232.2600	Measured
2021	  58.7600	Measured
2021	 118.8700	Measured
2021	  51.3500	Measured
2021	       NA	Measured
2021	  28.8900	Measured
2021	  80.4500	Measured
2021	  78.8100	Measured
2021	 170.3200	Measured
2021	 524.6100	Measured
2021	  57.3100	Measured
2021	 132.2800	Measured
2021	       NA	Measured
2021	  79.9200	Measured
2021	 267.0700	Measured
2021	  96.8700	Measured
2021	  46.5700	Measured
2021	 800.0000	Measured
2021	 198.8200	Measured
2021	  43.2500	Measured
2021	  47.5300	Measured
2021	  68.8300	Measured
2021	 119.1600	Measured
2021	       NA	Measured
2021	  57.4180	Measured
2021	  40.5180	Measured
2021	  57.8630	Measured
2021	 640.8700	Measured
2021	  58.7800	Measured
2021	  79.0700	Measured
2021	  66.3100	Measured
2021	  77.6200	Measured
2021	 890.5000	Measured
2021	  76.5700	Measured
2021	 649.2300	Measured
2021	  73.0100	Measured
2021	  47.3700	Measured
2021	  65.0500	Measured
2021	 118.9100	Measured
2021	 635.5200	Measured
2021	  19.4600	Measured
2021	  74.6200	Measured
2021	  94.3300	Measured
2021	  54.3200	Measured
2021	  29.7700	Measured
2022	  82.4900	Measured
2022	 103.8500	Measured
2022	  52.7200	Measured
2022	  38.8800	Measured
2022	  58.0900	Measured
2022	  22.5700	Measured
2022	  68.5100	Measured
2022	  41.4000	Measured
2022	  77.0100	Measured
2022	  35.5900	Measured
2022	   9.4500	Measured
2022	  80.9400	Measured
2022	  31.2700	Measured
2022	  65.0900	Measured
2022	  85.5500	Measured
2022	 198.3700	Measured
2022	 185.1400	Measured
2022	  96.1000	Measured
2022	  95.1200	Measured
2022	  63.9000	Measured
2022	       NA	Measured
2022	  22.6300	Measured
2022	       NA	Measured
2022	  56.9800	Measured
2022	  36.9200	Measured
2022	       NA	Measured
2022	  63.6800	Measured
2022	  63.9600	Measured
2022	  66.3800	Measured
2022	       NA	Measured
2022	  41.7800	Measured
2022	  26.2200	Measured
2022	  43.4500	Measured
2022	  48.5800	Measured
2022	  32.2500	Measured
2022	       NA	Measured
2022	  73.1500	Measured
2022	  18.7600	Measured
2022	  33.4100	Measured
2022	       NA	Measured
2022	  96.5200	Measured
2022	  52.7300	Measured
2022	  13.1600	Measured
2022	  46.1800	Measured
2022	  17.9300	Measured
2022	  42.8400	Measured
2022	  14.7300	Measured
2022	  60.2500	Measured
2022	  68.3100	Measured
2022	  37.1900	Measured
2022	  24.5900	Measured
2022	       NA	Measured
2022	  29.9000	Measured
2022	  85.4800	Measured
2022	       NA	Measured
2022	 581.5700	Measured
2022	       NA	Measured
2022	  25.5900	Measured
2022	  79.5200	Measured
2022	  38.3500	Measured
2022	 194.5100	Measured
2022	       NA	Measured
2022	       NA	Measured
2022	  68.1300	Measured
2022	  38.1300	Measured
2022	       NA	Measured
2022	  51.8700	Measured
2022	 113.2700	Measured
2022	  66.8300	Measured
2022	       NA	Measured
2022	       NA	Measured
2022	  74.9100	Measured
2022	  56.0400	Measured
2022	       NA	Measured
2023	 201.8880	Measured
2023	 167.6560	Measured
2023	  81.4890	Measured
2023	  18.3860	Measured
2023	  15.9420	Measured
2023	 132.6200	Measured
2023	1395.0000	Measured
2023	  39.5500	Measured
2023	  16.0100	Measured
2023	  49.9100	Measured
2023	  51.1500	Measured
2023	  69.7300	Measured
2023	  73.0800	Measured
2023	  37.6900	Measured
2023	  79.7200	Measured
2023	  41.4000	Measured
2023	  26.5800	Measured
2023	 154.8000	Measured
2023	 136.7200	Measured
2023	 137.1300	Measured
2023	  19.7100	Measured
2023	  44.4500	Measured
2023	 165.6800	Measured
2023	  67.6300	Measured
2023	  36.3100	Measured
2023	       NA	Measured
2023	  52.8700	Measured
2023	  47.9200	Measured
2023	  55.4600	Measured
